name,address,description,styleUrl,ExtendedData/Data/0/value,ExtendedData/Data/0/_name,ExtendedData/Data/1/value,ExtendedData/Data/1/_name,ExtendedData/Data/2/value,ExtendedData/Data/2/_name,ExtendedData/Data/3/value,ExtendedData/Data/3/_name,ExtendedData/Data/4/value,ExtendedData/Data/4/_name,ExtendedData/Data/5/value,ExtendedData/Data/5/_name,ExtendedData/Data/6/value,ExtendedData/Data/6/_name,ExtendedData/Data/7/value,ExtendedData/Data/7/_name,ExtendedData/Data/8/value,ExtendedData/Data/8/_name,ExtendedData/Data/9/value,ExtendedData/Data/9/_name,ExtendedData/Data/10/value,ExtendedData/Data/10/_name,ExtendedData/Data/11/value,ExtendedData/Data/11/_name,ExtendedData/Data/12/value,ExtendedData/Data/12/_name,ExtendedData/Data/13/value,ExtendedData/Data/13/_name
Our Lady of Fatima Church,25-02 80th Street East Elmhurst NY,Contact: Sr. Anne Marie Beirne<br>Phone: 516-606-5580<br>Program Type: Pantry<br>Address: 25-02 80th Street<br>City: East Elmhurst<br>State: NY<br>ZIP Code: 11370<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: 12:00 PMP - 3:00 PM (1x a month)<br>Sunday: closed,#icon-1899-F57C00,Sr. Anne Marie Beirne,Contact,516-606-5580,Phone,Pantry,Program Type,25-02 80th Street,Address,East Elmhurst,City,NY,State,11370,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,12:00 PMP - 3:00 PM (1x a month),Saturday,closed,Sunday
Abraham House Inc.,342 Willis Avenue Bronx NY 10454,Contact: Althea Brooks<br>Phone: 718-292-9321 x110<br>Program Type: Pantry<br>Address: 342 Willis Avenue<br>City: Bronx<br>State: NY<br>ZIP Code: 10454<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: 06:30 AM - 07:30 AM<br>Sunday: closed,#icon-1899-F57C00,Althea Brooks,Contact,718-292-9321 x110,Phone,Pantry,Program Type,342 Willis Avenue,Address,Bronx,City,NY,State,10454,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,06:30 AM - 07:30 AM,Saturday,closed,Sunday
Abrigo Del Altisimo,2009 Monterey Avenue Bronx NY 10457,Contact: Jackie Vazquez / Maritza<br>Phone: 718-669-4826; 646-506-7211<br>Program Type: Pantry<br>Address: 2009 Monterey Avenue<br>City: Bronx<br>State: NY<br>ZIP Code: 10457<br>Monday: closed<br>Tuesday: 12:00 PM - 02:00 PM<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Jackie Vazquez / Maritza,Contact,718-669-4826; 646-506-7211,Phone,Pantry,Program Type,2009 Monterey Avenue,Address,Bronx,City,NY,State,10457,ZIP Code,closed,Monday,12:00 PM - 02:00 PM,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
ABUNDANT GRACE FOR THE FORSAKEN FOOD PANTRY,3101 Eastchester Road Bronx NY 10469,Contact: HAGAR BORTSIE-ANSAH<br>Phone: 347-449-5663<br>Program Type: Pantry<br>Address: 3101 Eastchester Road<br>City: Bronx<br>State: NY<br>ZIP Code: 10469<br>Monday: -<br>Tuesday: -<br>Wednesday: -<br>Thursday: -<br>Friday: -<br>Saturday: 9:00 AM - 11:00 AM<br>Sunday: -,#icon-1899-F57C00,HAGAR BORTSIE-ANSAH,Contact,347-449-5663,Phone,Pantry,Program Type,3101 Eastchester Road,Address,Bronx,City,NY,State,10469,ZIP Code,-,Monday,-,Tuesday,-,Wednesday,-,Thursday,-,Friday,9:00 AM - 11:00 AM,Saturday,-,Sunday
Abundant Life Tabernacle Inc,2692 3rd Avenue Bronx NY 10454,Contact: Jasper Rolle Jr<br>Phone: 718-292-8734<br>Program Type: Pantry<br>Address: 2692 3rd Avenue<br>City: Bronx<br>State: NY<br>ZIP Code: 10454<br>Monday: closed<br>Tuesday: 12:00 PM - 02:00 PM<br>Wednesday: closed<br>Thursday: 12:00 PM - 02:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Jasper Rolle Jr,Contact,718-292-8734,Phone,Pantry,Program Type,2692 3rd Avenue,Address,Bronx,City,NY,State,10454,ZIP Code,closed,Monday,12:00 PM - 02:00 PM,Tuesday,closed,Wednesday,12:00 PM - 02:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
ACS - The Administration for Children's Services,"2501 Grand Concourse, Bronx NY 10468","Contact: Michelle Escossery<br>Phone: 718-933-7143<br>Program Type: Pantry<br>Address: 2501 Grand Concourse, 5th Floor<br>City: Bronx<br>State: NY<br>ZIP Code: 10468<br>Monday: 11:00 AM - 07:00 PM<br>Tuesday: closed<br>Wednesday: 11:00 AM - 07:00 PM<br>Thursday: closed<br>Friday: 11:00 AM - 07:00 PM<br>Saturday: closed<br>Sunday: closed",#icon-1899-F57C00,Michelle Escossery,Contact,718-933-7143,Phone,Pantry,Program Type,"2501 Grand Concourse, 5th Floor",Address,Bronx,City,NY,State,10468,ZIP Code,11:00 AM - 07:00 PM,Monday,closed,Tuesday,11:00 AM - 07:00 PM,Wednesday,closed,Thursday,11:00 AM - 07:00 PM,Friday,closed,Saturday,closed,Sunday
Act of Faith Ministries,141 Manhattan Avenue Brooklyn NY 11206,Contact: Mrs. Victoria Bordoy<br>Phone: 516-852-5934<br>Program Type: Pantry<br>Address: 141 Manhattan Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11206<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 12:00 PM - 01:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Mrs. Victoria Bordoy,Contact,516-852-5934,Phone,Pantry,Program Type,141 Manhattan Avenue,Address,Brooklyn,City,NY,State,11206,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,12:00 PM - 01:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Acts Community Development Corp.,2114 Mermaid Avenue Brooklyn NY 11224,Contact: Vincent Fusco<br>Phone: 917-560-7720<br>Program Type: Pantry<br>Address: 2114 Mermaid Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11224<br>Monday: closed<br>Tuesday: 06:00 PM - 07:00 PM<br>Wednesday: closed<br>Thursday: 11:00 AM - 12:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Vincent Fusco,Contact,917-560-7720,Phone,Pantry,Program Type,2114 Mermaid Avenue,Address,Brooklyn,City,NY,State,11224,ZIP Code,closed,Monday,06:00 PM - 07:00 PM,Tuesday,closed,Wednesday,11:00 AM - 12:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Acts Community Development Corporation,2114 Mermaid Avenue Brooklyn NY 11224,Contact: Denise Robbins<br>Phone: 718-415-1170<br>Program Type: Soup Kitchen<br>Address: 2114 Mermaid Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11224<br>Monday: closed<br>Tuesday: closed<br>Wednesday: 06:30 PM - 08:00 PM<br>Thursday: closed<br>Friday: 06:30 PM - 08:00 PM<br>Saturday: closed<br>Sunday: closed,#icon-1899-1A237E,Denise Robbins,Contact,718-415-1170,Phone,Soup Kitchen,Program Type,2114 Mermaid Avenue,Address,Brooklyn,City,NY,State,11224,ZIP Code,closed,Monday,closed,Tuesday,06:30 PM - 08:00 PM,Wednesday,closed,Thursday,06:30 PM - 08:00 PM,Friday,closed,Saturday,closed,Sunday
"Admirable Church, Inc.",1910 Flatbush Avenue Brooklyn NY 11210,Contact: Merianne Domingue<br>Phone: 347-779-7192<br>Program Type: Pantry<br>Address: 1910 Flatbush Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11210<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: 10:00 AM - 12:00 PM<br>Sunday: closed,#icon-1899-F57C00,Merianne Domingue,Contact,347-779-7192,Phone,Pantry,Program Type,1910 Flatbush Avenue,Address,Brooklyn,City,NY,State,11210,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,10:00 AM - 12:00 PM,Saturday,closed,Sunday
